Mes,Fecha base oculta,Mes (automático)
,"August 2, 2025",01-2026
,"August 2, 2025",01-2026
"@August 2, 2025 ","August 2, 2025",01-2026
"@August 3, 2025 ","August 2, 2025",01-2026
"@August 4, 2025 ","August 2, 2025",01-2026
"@August 5, 2025 ","August 2, 2025",01-2026
"@August 6, 2025 ","August 2, 2025",01-2026
"@August 7, 2025 ","August 2, 2025",01-2026
"@August 8, 2025 ","August 2, 2025",01-2026
"@August 9, 2025 ","August 2, 2025",01-2026
"@August 10, 2025 ","August 2, 2025",01-2026
"@August 11, 2025 ","August 2, 2025",01-2026
"@August 12, 2025 ","August 2, 2025",01-2026
"@August 13, 2025 ","August 2, 2025",01-2026
"@August 14, 2025 ","August 2, 2025",01-2026
"@August 15, 2025 ","August 2, 2025",01-2026
"@August 16, 2025 ","August 2, 2025",01-2026
"@August 17, 2025 ","August 2, 2025",01-2026
"@August 18, 2025 ","August 2, 2025",01-2026
"@August 19, 2025 ","August 2, 2025",01-2026
"@August 20, 2025 ","August 2, 2025",01-2026
"@August 21, 2025 ","August 2, 2025",01-2026
"@August 22, 2025 ","August 2, 2025",01-2026
"@August 23, 2025 ","August 2, 2025",01-2026
"@August 24, 2025 ","August 2, 2025",01-2026
"@August 25, 2025 ","August 2, 2025",01-2026
"@August 26, 2025 ","August 2, 2025",01-2026
"@August 27, 2025 ","August 2, 2025",01-2026
"@August 28, 2025 ","August 2, 2025",01-2026
"@August 29, 2025 ","August 2, 2025",01-2026
"@August 30, 2025 ",,01-2026
"@August 31, 2025 ",,01-2026
"@September 1, 2025 ",,01-2026
"@September 2, 2025 ",,01-2026
"@September 3, 2025 ",,01-2026
"@September 4, 2025 ",,01-2026
"@September 5, 2025 ",,01-2026
"@September 6, 2025 ",,01-2026
"@September 7, 2025 ",,01-2026
"@September 8, 2025 ",,01-2026
"@September 9, 2025 ",,01-2026
"@September 10, 2025 ",,01-2026
"@September 11, 2025 ",,01-2026
"@September 12, 2025 ",,01-2026
"@September 13, 2025 ",,01-2026
"@September 14, 2025 ",,01-2026
"@September 15, 2025 ",,01-2026
"@September 16, 2025 ",,01-2026
"@September 17, 2025 ",,01-2026
"@September 18, 2025 ",,01-2026
"@September 19, 2025 ",,01-2026
"@September 20, 2025 ",,01-2026
"@September 21, 2025 ",,01-2026
"@September 22, 2025 ",,01-2026
"@September 23, 2025 ",,01-2026
"@September 24, 2025 ",,01-2026
"@September 25, 2025 ",,01-2026
"@September 26, 2025 ",,01-2026
"@September 27, 2025 ",,01-2026
"@September 28, 2025 ",,01-2026
"@September 29, 2025 ",,01-2026
"@September 30, 2025 ",,01-2026
"@October 1, 2025 ",,01-2026
"@October 2, 2025 ",,01-2026
"@October 3, 2025 ",,01-2026
"@October 4, 2025 ",,01-2026
"@October 5, 2025 ",,01-2026
"@October 6, 2025 ",,01-2026
"@October 7, 2025 ",,01-2026
"@October 8, 2025 ",,01-2026
"@October 9, 2025 ",,01-2026
"@October 10, 2025 ",,01-2026
"@October 11, 2025 ",,01-2026
"@October 12, 2025 ",,01-2026
"@October 13, 2025 ",,01-2026
"@October 14, 2025 ",,01-2026
"@October 15, 2025 ",,01-2026
"@October 16, 2025 ",,01-2026
"@October 17, 2025 ",,01-2026
"@October 18, 2025 ",,01-2026
"@October 19, 2025 ",,01-2026
"@October 20, 2025 ",,01-2026
"@October 21, 2025 ",,01-2026
"@October 22, 2025 ",,01-2026
"@October 23, 2025 ",,01-2026
"@October 24, 2025 ",,01-2026
"@October 25, 2025 ",,01-2026
"@October 26, 2025 ",,01-2026
"@October 27, 2025 ",,01-2026
"@October 28, 2025 ",,01-2026
"@October 29, 2025 ",,01-2026
"@October 30, 2025 ",,01-2026
"@October 31, 2025 ",,01-2026
"@November 1, 2025 ",,01-2026
"@November 2, 2025 ",,01-2026
"@November 3, 2025 ",,01-2026
"@November 4, 2025 ",,01-2026
"@November 5, 2025 ",,01-2026
"@November 6, 2025 ",,01-2026
"@November 7, 2025 ",,01-2026
"@November 8, 2025 ",,01-2026
"@November 9, 2025 ",,01-2026
"@November 10, 2025 ",,01-2026
"@November 11, 2025 ",,01-2026
"@November 12, 2025 ",,01-2026
"@November 13, 2025 ",,01-2026
"@November 14, 2025 ",,01-2026
"@November 15, 2025 ",,01-2026
"@November 16, 2025 ",,01-2026
"@November 17, 2025 ",,01-2026
"@November 18, 2025 ",,01-2026
"@November 19, 2025 ",,01-2026
"@November 20, 2025 ",,01-2026
"@November 21, 2025 ",,01-2026
"@November 22, 2025 ",,01-2026
"@November 23, 2025 ",,01-2026
"@November 24, 2025 ",,01-2026
"@November 25, 2025 ",,01-2026
"@November 26, 2025 ",,01-2026
"@November 27, 2025 ",,01-2026
"@November 28, 2025 ",,01-2026
"@November 29, 2025 ",,01-2026
"@November 30, 2025 ",,01-2026
"@December 1, 2025 ",,01-2026
"@December 2, 2025 ",,01-2026
"@December 3, 2025 ",,01-2026
"@December 4, 2025 ",,01-2026
"@December 5, 2025 ",,01-2026
"@December 6, 2025 ",,01-2026
"@December 7, 2025 ",,01-2026
"@December 8, 2025 ",,01-2026
"@December 9, 2025 ",,01-2026
"@December 10, 2025 ",,01-2026
"@December 11, 2025 ",,01-2026
"@December 12, 2025 ",,01-2026
"@December 13, 2025 ",,01-2026
"@December 14, 2025 ",,01-2026
"@December 15, 2025 ",,01-2026
"@December 16, 2025 ",,01-2026
"@December 17, 2025 ",,01-2026
"@December 18, 2025 ",,01-2026
"@December 19, 2025 ",,01-2026
"@December 20, 2025 ",,01-2026
"@December 21, 2025 ",,01-2026
"@December 22, 2025 ",,01-2026
"@December 23, 2025 ",,01-2026
"@December 24, 2025 ",,01-2026
"@December 25, 2025 ",,01-2026
"@December 26, 2025 ",,01-2026
"@December 27, 2025 ",,01-2026
"@December 28, 2025 ",,01-2026
"@December 29, 2025 ",,01-2026
"@December 30, 2025 ",,01-2026
"@December 31, 2025 ",,01-2026
"@January 1, 2026 ",,01-2026
"@January 2, 2026 ",,01-2026
"@January 3, 2026 ",,01-2026
"@January 4, 2026 ",,01-2026
"@January 5, 2026 ",,01-2026
"@January 6, 2026 ",,01-2026
"@January 7, 2026 ",,01-2026
"@January 8, 2026 ",,01-2026
"@January 9, 2026 ",,01-2026
"@January 10, 2026 ",,01-2026
"@January 11, 2026 ",,01-2026
"@January 12, 2026 ",,01-2026
"@January 13, 2026 ",,01-2026
"@January 14, 2026 ",,01-2026
"@January 15, 2026 ",,01-2026
"@January 16, 2026 ",,01-2026
"@January 17, 2026 ",,01-2026
"@January 18, 2026 ",,01-2026
"@January 19, 2026 ",,01-2026
"@January 20, 2026 ",,01-2026
"@January 21, 2026 ",,01-2026
