RECETA,Producto de despensa,Ingredientes en receta,Cantidad necesaria,Unidad de medida de receta,Costo del ingrediente en la receta,Cantidad en Unidad Base Despensa,Precio por unidad de despensa,Cantidad necesaria en unidad base,Precio gramo,Formula,Planificación de comidas,Conteo Programados,gramos programados
,Miel (Despensa%20Productos%20(Maestra)/Miel%2024388a385be78048aeace0f9c253ee2b.csv),Miel,15,Gr,CLP 113,1000,7500,15,7.5,,,0,0
Pan (Recetario%20Familiar/Pan%2024388a385be7800fb190d681e37d39de.csv),Harina 0000 (Despensa%20Productos%20(Maestra)/Harina%200000%2024088a385be780cd84dae071e44c1b18.csv),Harina,1000,Gr,"CLP 1,060",1000,26500,1000,1.06,,,31,31000
Pan (Recetario%20Familiar/Pan%2024388a385be7800fb190d681e37d39de.csv),Sal (Despensa%20Productos%20(Maestra)/Sal%2024388a385be7807c8327ca54cb041202.csv),Sal,20,Gr,CLP 6,1000,800,20,0.32,,,31,620
Pan (Recetario%20Familiar/Pan%2024388a385be7800fb190d681e37d39de.csv),Levadura fresca (Despensa%20Productos%20(Maestra)/Levadura%20fresca%2024388a385be7807ab0eec63bc81b2cd7.csv),Levadura Fresca,30,Gr,CLP 165,1000,5500,30,5.5,,,31,930
Lentejas (Recetario%20Familiar/Lentejas%2024688a385be780e3bd65e8f55ac6ca70.csv),Arroz (Despensa%20Productos%20(Maestra)/Arroz%2024688a385be7806eb9f7f7ab70a8dcdd.csv),Arroz,50,Gr,CLP 127,1000,2530,50,2.53,,,0,0
Lentejas (Recetario%20Familiar/Lentejas%2024688a385be780e3bd65e8f55ac6ca70.csv),Pimentón (Despensa%20Productos%20(Maestra)/Piment%C3%B3n%2024688a385be7803c8863ecbae6058762.csv),Pimentón,0.5,unidad,CLP 895,1,1790,0.5,1790,,,0,0
Lentejas (Recetario%20Familiar/Lentejas%2024688a385be780e3bd65e8f55ac6ca70.csv),Caldo (Despensa%20Productos%20(Maestra)/Caldo%2024688a385be780cc9349e2ced69e9a31.csv),Caldo,4,Gr,CLP 64,1000,1280,4,16,,,0,0
Lentejas (Recetario%20Familiar/Lentejas%2024688a385be780e3bd65e8f55ac6ca70.csv),Longanizas (Despensa%20Productos%20(Maestra)/Longanizas%2024688a385be780c3be30e0ae91ed33cf.csv),Longanizas,140,Gr,"CLP 1,925",1000,3850,140,13.75,,,0,0
Lentejas (Recetario%20Familiar/Lentejas%2024688a385be780e3bd65e8f55ac6ca70.csv),Lentejas (Despensa%20Productos%20(Maestra)/Lentejas%2024688a385be7800d8299e15ee3e4ddac.csv),Lentejas,500,Gr,"CLP 1,825",1000,3650,500,3.65,,,0,0
Lentejas (Recetario%20Familiar/Lentejas%2024688a385be780e3bd65e8f55ac6ca70.csv),Cebolla (Despensa%20Productos%20(Maestra)/Cebolla%2024688a385be78035811fc2f9ededdb23.csv),Cebolla,50,Gr,CLP 100,1000,1990,50,1.99,,,0,0
