Date,Receta,Tipo de comida,Ingredientes (intermedio),Costo Estimado,Costo receta,¿Ya cocinada?,¿Ya programada?,Planificación de comidas,Contar programadas,URL/Fuente,Notas,Despensa/Productos (Maestra),Ingredientes,Despensa/Productos (Maestra) 1,Valor receta
"August 2, 2025",Pan,Desayuno,"Harina (Ingredientes%20de%20Recetas/Harina%2024088a385be780e29bf4dab7de16bfb3.csv), Sal (Ingredientes%20de%20Recetas/Sal%2024388a385be78071ad34dd07959ca91d.csv), Levadura Fresca (Ingredientes%20de%20Recetas/Levadura%20Fresca%2024388a385be78096867bf2bc222f6275.csv)",🟢 Bajo,1231.4,No,No,"Pan (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Pan%2024988a385be780b2bd4eed6c30d6d9de.csv), Plato (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%2025f88a385be78028a1f9de68efb55c6b.csv), Plato (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%2025f88a385be780209750ca77863331c7.csv), Plato (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%2025f88a385be780289d1bf801afabd0c6.csv), Plato (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%2025f88a385be78041a4c5f394063458fd.csv), Plato (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%2025f88a385be780c9a44fe055891c707e.csv), Plato  (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%2025f88a385be780218be2d4cfd44cbe04.csv), Plato (1) (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%20(1)%2025f88a385be780be8b1dc7f263f45360.csv), Plato (1) (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%20(1)%2025f88a385be7801e9441fa11147a9c6c.csv), Plato (1) (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%20(1)%2025f88a385be7801cb18ed8f215cf377a.csv), Plato (1) (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%20(1)%2025f88a385be7801688fed67321563387.csv), Plato (1) (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%20(1)%2025f88a385be7808b8a93e70cff3055bc.csv), Plato (1) (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%20(1)%2025f88a385be78090b435fe77f9867a8a.csv), Plato (1) (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%20(1)%2025f88a385be780e68f67e00362361ece.csv), Plato (2) (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%20(2)%2025f88a385be780099333db2c862c0c67.csv), Plato (2) (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%20(2)%2025f88a385be78075b834caf38e5353eb.csv), Plato (2) (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%20(2)%2025f88a385be7802c829fc82f1e6fec9e.csv), Plato (2) (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%20(2)%2025f88a385be780dfae21fef238976760.csv), Plato (2) (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%20(2)%2025f88a385be780bbbc64fdeede276895.csv), Plato (2) (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%20(2)%2025f88a385be780dbb416cf5f4336f622.csv), Plato (2) (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%20(2)%2025f88a385be780bfbefbe74c011fa274.csv), Plato (3) (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%20(3)%2025f88a385be780b988b3f9394baae990.csv), Plato (3) (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%20(3)%2025f88a385be7804fb6a4da6dc01ecfa8.csv), Plato (3) (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%20(3)%2025f88a385be7809899d8cc17165162ce.csv), Plato (3) (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%20(3)%2025f88a385be7805e9f19d587f052213f.csv), Plato (3) (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%20(3)%2025f88a385be780799ea4e98904631987.csv), Plato (3) (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%20(3)%2025f88a385be78029b29fc80b19d47c7e.csv), Plato (3) (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%20(3)%2025f88a385be780518248f7234c962455.csv), Plato (4) (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%20(4)%2025f88a385be78094b365d28bec5c3b1e.csv), Plato (4) (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%20(4)%2025f88a385be780268a2bf412ca6553b5.csv), Plato (4) (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%20(4)%2025f88a385be78006b01eed15b9b37d9b.csv)",31,,,,"Sal (Despensa%20Productos%20(Maestra)/Sal%2024388a385be7807c8327ca54cb041202.csv), Harina 0000 (Despensa%20Productos%20(Maestra)/Harina%200000%2024088a385be780cd84dae071e44c1b18.csv), Levadura fresca (Despensa%20Productos%20(Maestra)/Levadura%20fresca%2024388a385be7807ab0eec63bc81b2cd7.csv), Miel (Despensa%20Productos%20(Maestra)/Miel%2024388a385be78048aeace0f9c253ee2b.csv)",,1231.4
,Fideos con crema y jamón Glu,Almuerzo,"@Queso rallado (Ingredientes%20de%20Recetas/@Queso%20rallado%2024788a385be780ac9b36ca7ce926a72d.csv), @Jamón (1) (Ingredientes%20de%20Recetas/@Jam%C3%B3n%20(1)%2024788a385be7807ca79fd5ab89fa18c9.csv), @Crema sin lactosa (Ingredientes%20de%20Recetas/@Crema%20sin%20lactosa%2024788a385be78007a800ea151642f2d2.csv), @Fideos sin Gluten  (Ingredientes%20de%20Recetas/@Fideos%20sin%20Gluten%2024788a385be780d28142f8ad1570df7a.csv)",🟢 Bajo,2071.25,No,No,"Plato (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%2024988a385be780449038d58c88304668.csv), Plato (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%2025f88a385be7809482feda3bb771189f.csv), Plato (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%2025f88a385be780ff8101cebb8f685b59.csv), Plato (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%2025f88a385be780e995b1d18768c99160.csv)",4,,,,,,2071.25
,Garbanzos,Almuerzo,"@Zanahoria (Ingredientes%20de%20Recetas/@Zanahoria%2024688a385be7809c905af6a24fbc57e9.csv), @Cebolla (Ingredientes%20de%20Recetas/@Cebolla%2024788a385be7802e8df6d51480f4a256.csv), @Pimentón (Ingredientes%20de%20Recetas/@Piment%C3%B3n%2024788a385be78002ba4adfe4f604947c.csv), @Garbanzos (Ingredientes%20de%20Recetas/@Garbanzos%2024788a385be780839348df65dc0f7bd4.csv), @Arroz (Ingredientes%20de%20Recetas/@Arroz%2024788a385be780fd93f2d9b0966d9fd6.csv)",🟢 Bajo,3473.5,No,No,,0,,,,,,3473.5
,Ravioles,Almuerzo,"@Salsa de tomate (Ingredientes%20de%20Recetas/@Salsa%20de%20tomate%2024688a385be7809181e5e783f811a4df.csv), @Queso rallado (Ingredientes%20de%20Recetas/@Queso%20rallado%2024788a385be7806e81b8e8a7a1006f2e.csv)",🟢 Bajo,3485.8333333336,No,No,"Plato (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%2025f88a385be780179611cb8d02e69d13.csv), Plato (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%2025f88a385be780b3a489e0cbbca9902d.csv)",2,,,,,,3485.8333333336
,Tortilla de acelga con papas,Almuerzo,"@Huevos (Ingredientes%20de%20Recetas/@Huevos%2024688a385be7808b852dccab19a5fa93.csv), @Acelga (Ingredientes%20de%20Recetas/@Acelga%2024788a385be780b1b95dc80593c6da68.csv), @Cebolla (Ingredientes%20de%20Recetas/@Cebolla%2024788a385be780b58066c0444f156034.csv), @Zanahoria (Ingredientes%20de%20Recetas/@Zanahoria%2024788a385be78076a3b4d956d8548c0e.csv), @Papas (Ingredientes%20de%20Recetas/@Papas%2024788a385be780d9a3a5df1a319470a3.csv)",🟢 Bajo,3622.333333333332,No,No,"Plato (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%2025f88a385be78073aa81eb74ed6583f3.csv), Plato (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%2025f88a385be78095a05dc70263bdfafd.csv)",2,,,,,,3622.333333333332
,Porotos,Almuerzo,"@Porotos (Ingredientes%20de%20Recetas/@Porotos%2024688a385be78078b14fc89239b10f83.csv), @Fideos (Ingredientes%20de%20Recetas/@Fideos%2024788a385be78032b133d7599b8ed6ce.csv), @Zapallo (Ingredientes%20de%20Recetas/@Zapallo%2024788a385be7803cba96f35d6a107665.csv), @Cebolla (Ingredientes%20de%20Recetas/@Cebolla%2024788a385be780f7b5f6ebdf89be126b.csv), @Zanahoria (Ingredientes%20de%20Recetas/@Zanahoria%2024788a385be7807aa710d6e0c675f1d1.csv), @Pimentón (Ingredientes%20de%20Recetas/@Piment%C3%B3n%2024788a385be780809bc9feef76f1656d.csv)",🟢 Bajo,4359.3214285715,No,No,,0,,,,,,4359.3214285715
"August 11, 2025",Lentejas,Almuerzo,"Lentejas (Ingredientes%20de%20Recetas/Lentejas%2024688a385be7806d9bccc85ccb4066a0.csv), Arroz (Ingredientes%20de%20Recetas/Arroz%2024688a385be78033a488e8fb727681e3.csv), Pimentón (Ingredientes%20de%20Recetas/Piment%C3%B3n%2024688a385be78024bc72faf91d5bebe1.csv), Caldo (Ingredientes%20de%20Recetas/Caldo%2024688a385be7800abd95f51b127116e4.csv), Longanizas (Ingredientes%20de%20Recetas/Longanizas%2024688a385be7800f90adcd3f70796286.csv), Cebolla (Ingredientes%20de%20Recetas/Cebolla%2024688a385be780f4ab06d658611948a0.csv), Zanahoria (Ingredientes%20de%20Recetas/Zanahoria%2024688a385be780fbae20f4be9f25f804.csv), Sal (Ingredientes%20de%20Recetas/Sal%2024688a385be780dc8e6adf9d7c6a42a3.csv)",🟢 Bajo,5004.3,No,No,,0,,,,Lentejas (Despensa%20Productos%20(Maestra)/Lentejas%2024688a385be7800d8299e15ee3e4ddac.csv),,5004.3
,Fideos con crema y jamón,Almuerzo,"@Fideos (Ingredientes%20de%20Recetas/@Fideos%2024688a385be7802d9a53ef2812f1d0b5.csv), @Crema sin lactosa (Ingredientes%20de%20Recetas/@Crema%20sin%20lactosa%2024788a385be78015b41ff640029c4040.csv), @Jamón (Ingredientes%20de%20Recetas/@Jam%C3%B3n%2024788a385be7809bb754ccb0f820bdfd.csv), @Queso rallado  (Ingredientes%20de%20Recetas/@Queso%20rallado%2024788a385be780f18b61f01e7193377d.csv)",🟢 Bajo,5797.5,No,No,"Plato (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%2024988a385be780449038d58c88304668.csv), Plato (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%2025f88a385be7809482feda3bb771189f.csv), Plato (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%2025f88a385be780ff8101cebb8f685b59.csv), Plato (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%2025f88a385be780e995b1d18768c99160.csv)",4,,,,,,5797.5
,Arroz con nugget,Almuerzo,"@Sal (Ingredientes%20de%20Recetas/@Sal%2025f88a385be780359b3cd7b13b2c77a7.csv), @aceite de oliva  (Ingredientes%20de%20Recetas/@aceite%20de%20oliva%2025f88a385be780a9bf15c625d96bb9ab.csv), @Arroz  (Ingredientes%20de%20Recetas/@Arroz%2025f88a385be78006a085d6a46153a1a7.csv), @Nuggets  (Ingredientes%20de%20Recetas/@Nuggets%2025f88a385be780b58e13f07a9fbc04e3.csv)",🟢 Bajo,6903.7,No,No,,0,,,,,,6903.7
,Arroz con waffles de verdura,Almuerzo,"@Arroz (Ingredientes%20de%20Recetas/@Arroz%2024688a385be7805fa220ff0657a3cd90.csv), @Pollo (Ingredientes%20de%20Recetas/@Pollo%2024788a385be780aa928ad69249bfc40d.csv), @Zapallo Italiano (Ingredientes%20de%20Recetas/@Zapallo%20Italiano%2024788a385be780248c7de56a7e4f24fc.csv), @Acelga (Ingredientes%20de%20Recetas/@Acelga%2024788a385be78058a7e4e684ec43daba.csv), @Huevos (Ingredientes%20de%20Recetas/@Huevos%2024788a385be780408212f903599d6333.csv), @Brocoli  (Ingredientes%20de%20Recetas/@Brocoli%2024988a385be7804687b7e4ebed98a0dd.csv)",🟡 Medio,10715.833333333332,No,No,"Plato (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%2025f88a385be780feaf12da75eb6d8378.csv), Plato (Planificaci%C3%B3n%20de%20comidas%20y%20compras/Plato%2025f88a385be78064904cddd93179b3ee.csv)",2,,,,,,10715.833333333332
